Dynamical Matrix
9.98921329 0.00000000 0.00000000
-12.76994943 -0.00000000 0.00000000
-13.94453274 -0.00000000 0.00000000
0.05771739 0.00000000 0.00000000
-0.20065686 0.00000000 0.00000000
-0.28617788 -0.00000000 -0.00000000
0.74161430 -0.00000000 -0.00000000
0.03547773 0.64121059 -0.15392409
0.03547773 -0.64121059 0.15392409
0.71344905 0.00000000 0.00000000
0.02928770 0.13590980 -0.53930161
0.02928770 -0.13590980 0.53930161
-0.11793400 0.00000000 0.00000000
0.20606499 -0.00000000 -0.00000000
0.49921685 0.00000000 0.00000000
-0.08324351 0.00000000 -0.00000000
0.39738415 -0.00000000 0.00000000
0.07412331 -0.00000000 -0.00000000
-7.84681365 -0.00000000 -0.00000000
6.44637067 6.33901062 4.41731497
6.44637067 -6.33901062 -4.41731496
-0.03349516 -0.00000000 -0.00000000
0.01095251 0.04250404 0.03806035
0.01095251 -0.04250404 -0.03806035
-0.00000000 58.75257503 -5.48880232
0.00000000 -40.52937893 -23.54350791
0.00000000 -166.43155919 38.30960339
0.00000000 -0.15007419 0.00000042
0.00000000 0.64892863 -0.81231988
0.00000000 -0.48393460 0.49085210
-0.00000000 -6.30907059 2.49011483
0.55393672 2.11726740 -0.20311516
-0.55393672 2.11726740 -0.20311516
0.00000000 1.06513307 0.22342270
0.10903224 -0.73881861 -0.40296000
-0.10903224 -0.73881861 -0.40296000
-0.00000000 -0.87981349 0.00000000
-0.00000000 1.40685614 0.06496062
0.00000000 1.58898547 0.23002459
-0.00000000 0.06936478 -0.00000036
-0.00000000 -0.30800809 0.69962209
0.00000000 0.53711853 -0.23385955
0.00000000 -1.50072755 -2.26410065
6.17427354 -1.56037884 2.85590132
-6.17427354 -1.56037884 2.85590132
-0.00000000 -0.40955588 -0.03840220
0.04298680 0.70055223 0.16896158
-0.04298680 0.70055223 0.16896158
0.00000000 -5.46361411 64.49722245
-0.00000000 -2.39229573 -180.43154864
-0.00000000 17.45942828 -45.98509159
-0.00000000 -0.00000033 -0.55385903
0.00000000 -0.82527001 0.90038742
-0.00000000 0.50491531 2.10355798
-0.00000000 2.47129627 0.12332228
-0.11714364 -0.14215250 -0.83301263
0.11714364 -0.14215250 -0.83301263
0.00000000 0.21207921 -6.91259743
-0.45061524 -0.39079228 2.05411882
0.45061524 -0.39079228 2.05411883
0.00000000 0.00000000 0.32065073
0.00000000 0.06315071 -0.35591102
0.00000000 0.24614400 -0.80196105
-0.00000000 0.00000027 -0.63346642
-0.00000000 0.69883018 1.17974701
-0.00000000 -0.23877951 0.70081084
0.00000000 -2.28295515 0.12494538
4.39617491 3.01571484 -3.51028190
-4.39617491 3.01571484 -3.51028190
-0.00000000 -0.03953366 -0.21810917
0.03723909 0.16153317 0.62643298
-0.03723909 0.16153317 0.62643298
-12.71268549 0.00000000 0.00000000
68.55190447 0.00000000 -0.00000001
-0.85663006 0.00000000 0.00000001
-0.20140871 -0.00000000 -0.00000000
0.04107459 -0.00000000 0.00000000
1.85089835 0.00000000 0.00000000
-0.15987799 -0.00000000 0.00000000
0.10724648 -0.14732866 0.25415443
0.10724648 0.14732866 -0.25415443
-4.41275416 0.00000000 0.00000000
-1.50210317 -1.66067126 6.56694848
-1.50210317 1.66067126 -6.56694847
0.19649486 -0.00000000 0.00000000
-0.51418359 0.00000000 -0.00000000
-0.72950611 -0.00000000 0.00000000
0.45297535 -0.00000000 0.00000000
-0.21091446 -0.00000000 -0.00000000
-0.72360290 -0.00000000 0.00000000
0.76937268 0.00000000 -0.00000000
-0.27545805 0.21110063 -5.36405866
-0.27545805 -0.21110063 5.36405866
0.13357989 -0.00000000 0.00000000
-0.03511229 -0.20009934 -0.19050211
-0.03511229 0.20009934 0.19050211
0.00000000 -40.51683151 -2.51556198
-0.00000000 148.53166780 17.13539972
-0.00000000 25.71609095 -1.02461951
0.00000000 0.70217397 0.84232355
-0.00000000 -0.47411801 0.11284488
-0.00000000 0.06833493 -4.69852250
0.00000000 0.86549529 -0.84733897
-0.26587676 -2.97584724 1.16868126
0.26587676 -2.97584724 1.16868126
0.00000000 -5.44071398 -1.46781144
-1.70648393 2.36482201 4.65619422
1.70648393 2.36482201 4.65619422
0.00000000 1.53578289 0.06581182
-0.00000000 -3.92017432 0.06993282
0.00000000 -2.01141794 -1.51337874
0.00000000 -0.26959613 -0.74852694
-0.00000000 0.70630125 -0.05989649
-0.00000000 -1.71640485 1.47997672
0.00000000 -0.83402023 0.90362997
-0.02618413 4.28180878 -3.44820593
0.02618413 4.28180878 -3.44820593
0.00000000 1.32779017 0.08113360
-0.19908494 -2.36913306 -0.73525670
0.19908494 -2.36913306 -0.73525671
-0.00000000 -23.50093336 -180.49411887
0.00000000 19.08765283 692.55265391
0.00000000 82.76988126 -1.35690312
0.00000000 0.80090769 0.87579292
0.00000000 0.06146293 -2.06320477
0.00000000 -4.65053030 -4.26539331
-0.00000000 -0.81713610 0.61828233
0.33032390 1.14712674 -0.12771299
-0.33032390 1.14712674 -0.12771299
0.00000000 -1.48157156 11.13654731
6.38013904 3.68615134 -3.80624435
-6.38013904 3.68615135 -3.80624435
0.00000000 0.07136286 -0.34599931
-0.00000000 0.08014579 1.72345443
0.00000000 -1.44760597 0.04085937
0.00000000 -0.70371904 1.17701815
0.00000000 0.07659029 -3.35596107
0.00000000 1.58939979 -0.53630533
0.00000000 0.93552561 1.25718868
-5.31385891 -3.57797401 -6.85643272
5.31385891 -3.57797401 -6.85643272
0.00000000 0.07669077 -0.10772016
-0.17598549 -0.62943188 -0.23064328
0.17598549 -0.62943188 -0.23064327
-13.81358889 -0.00000000 0.00000000
-1.00340847 0.00000000 -0.00000000
72.88860934 0.00000000 -0.00000000
-0.27685233 -0.00000000 0.00000000
1.83081873 0.00000000 0.00000000
0.61554493 -0.00000000 0.00000000
-4.63715484 0.00000000 -0.00000000
-1.69001795 -7.26356624 0.86951884
-1.69001795 7.26356624 -0.86951884
-0.16849198 0.00000000 0.00000000
0.02657665 -0.19230706 -0.20386087
0.02657665 0.19230706 0.20386087
0.46542183 0.00000000 0.00000000
-0.68126216 0.00000000 0.00000000
-0.01789629 -0.00000000 -0.00000000
0.08612773 -0.00000000 -0.00000000
-0.63676830 -0.00000001 -0.00000000
-0.00298761 -0.00000001 -0.00000000
0.70774982 -0.00000000 0.00000000
0.84296593 -4.59641889 1.96055271
0.84296593 4.59641889 -1.96055271
0.09996653 -0.00000000 -0.00000000
-0.06108411 -0.17091789 -0.07015197
-0.06108411 0.17091788 0.07015197
-0.00000000 -166.42241479 17.33598549
0.00000000 25.70736696 82.65340484
0.00000000 614.49038192 -132.80646920
0.00000000 -0.47210254 -0.47741596
-0.00000000 -0.16100160 4.97373680
-0.00000000 2.33700072 0.16236646
0.00000000 10.34092924 -4.71975894
-7.05471089 -5.46023086 -1.18700728
7.05471089 -5.46023086 -1.18700727
0.00000000 -0.21928790 -0.48667169
-0.20736863 -0.16088613 -0.06035968
0.20736862 -0.16088613 -0.06035968
-0.00000000 1.66893227 0.22632095
-0.00000000 -2.05549739 -1.47493856
0.00000000 -3.68591268 0.36064745
0.00000000 0.56488344 0.24095477
0.00000000 -1.70258989 -1.51782448
0.00000000 -1.63915807 0.02206054
0.00000000 1.82755569 0.26207379
-4.86879076 -8.23815396 0.24862994
4.86879076 -8.23815396 0.24862994
-0.00000000 0.43631630 0.23299637
-0.17568769 -0.24557145 -0.15982632
0.17568769 -0.24557145 -0.15982632
-0.00000000 38.35280220 -46.05213911
-0.00000000 -0.90260088 -1.34998761
0.00000000 -133.79091629 189.83415271
0.00000000 -0.49712580 2.10545608
-0.00000000 4.70264211 -4.33767756
0.00000000 -0.00934372 -5.72834266
0.00000000 -4.62147924 -4.36140125
0.86318040 -2.42069050 4.96486886
-0.86318040 -2.42069050 4.96486886
0.00000000 -0.48672176 1.71250230
-0.08927896 0.11474654 -2.80887932
0.08927896 0.11474654 -2.80887932
0.00000000 0.20950568 -0.80621605
0.00000000 -1.50997933 0.04917236
0.00000000 0.29754222 1.04981788
0.00000000 0.23701210 0.70481786
0.00000000 -1.50742964 -0.42573649
-0.00000000 0.00535286 -0.98775595
0.00000000 0.35527059 -1.24913590
2.01209725 0.29114210 5.01057082
-2.01209725 0.29114211 5.01057082
0.00000000 0.22056969 0.82527031
-0.07672452 -0.16778003 -2.34074160
0.07672452 -0.16778003 -2.34074160
0.05771739 0.00000000 0.00000000
-0.20065679 0.00000000 -0.00000000
-0.28617876 -0.00000000 0.00000000
9.98921235 -0.00000000 0.00000000
-12.76994811 0.00000000 0.00000000
-13.94453354 -0.00000000 0.00000000
0.71344939 -0.00000000 0.00000000
0.02928806 0.13590977 0.53930093
0.02928806 -0.13590977 -0.53930093
0.74161420 -0.00000000 0.00000000
0.03547709 0.64121119 0.15392368
0.03547709 -0.64121119 -0.15392368
-0.08324351 -0.00000000 0.00000000
0.39738402 0.00000000 -0.00000000
0.07412376 -0.00000000 -0.00000000
-0.11793416 0.00000000 0.00000000
0.20606452 0.00000000 0.00000000
0.49921675 0.00000000 0.00000000
-0.03349520 0.00000000 -0.00000000
0.01095246 0.04250402 -0.03806021
